date;prices
01.02.16;67,26
01.03.16;62,72
01.04.16;61,52
01.05.16;72,36
01.06.16;81,19
01.07.16;76,97
01.08.16;74,33
01.09.16;73,32
01.10.16;74,90
01.11.16;72,24
01.12.16;69,50
01.01.17;64,20
01.02.17;62,86
01.03.17;59,81
01.04.17;54,31
01.05.17;58,02
01.06.17;59,05
01.07.17;59,94
01.08.17;58,32
01.09.17;59,80
01.10.17;63,13
01.11.17;66,38
01.12.17;66,16
01.01.18;64,60
01.02.18;65,07
01.03.18;66,03
01.04.18;68,74
01.05.18;73,08
01.06.18;67,18
01.07.18;75,37
01.08.18;78,74
01.09.18;85,21
01.10.18;83,66
01.11.18;82,02
01.12.18;72,66
01.01.19;70,53
01.02.19;68,86
01.03.19;70,35
01.04.19;70,00
01.05.19;68,63
01.06.19;74,34
01.07.19;70,99
01.08.19;75,26
01.09.19;79,25
01.10.19;81,06
01.11.19;83,30
01.12.19;83,81
01.01.20;82,03
01.02.20;81,29
01.03.20;83,78
01.04.20;89,7
01.05.20;99,46
01.06.20;101,05
01.07.20;107,32
01.08.20;120,69
01.09.20;135,14
01.10.20;163,68
01.11.20;178,11
01.12.20;157,48
01.01.21;166,7
01.02.21;161,85
01.03.21;162,42
01.04.21;163,72
01.05.21;172,28
01.06.21;159,23
01.07.21;155,5
01.08.21;168,1
01.09.21;171,17
01.10.21;166,35
01.11.21;164,52
01.12.21;154,54
01.01.22;166,86
01.02.22;182,94
01.03.22;187,27
01.04.22;168,1
01.05.22;176,57
01.06.22;177,65
01.07.22;176,15
01.08.22;173,37
01.09.22;174,64
01.10.22;167,85
01.11.22;169,93
01.12.22;167,63
01.01.23;167,07
01.02.23;158,48
01.03.23;148,2
01.04.23;129,05
01.05.23;114,86
01.06.23;115,57
01.07.23;124,96
01.08.23;126,41
01.09.23;130,6
01.10.23;128,42
01.11.23;131,26
01.12.23;136,53
01.01.24;127,59
01.02.24;101,87
01.03.24;108,15
01.04.24;117,1
01.05.24;121,97
01.06.24;127,35
01.07.24;122,74
01.08.24;125,1
01.09.24;131,93
01.10.24;139,73
01.11.24;143,02
